"","line","section_name","section_artist","song_name","artist_name","song_id"
"195","Sweet sister","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"196","Don't linger","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"197","Come on into the water","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"198","'Cause our blood runs deeper","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"199","And I miss you","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"200","Will you take this dagger from me","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"201","Sweet sister","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"202","Don't linger","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"203","Come on into the water","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"204","'Cause our blood runs deeper","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"205","And I miss you","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"206","So handsome in his salt sailor skin","Bridge","Simone Simons & Myrkur","Sirens - Of Blood And Water","Epica",8384861
"207","Bathe in the sea, like a child living free","Bridge","Simone Simons & Myrkur","Sirens - Of Blood And Water","Epica",8384861
"208","Tonight I dance and laugh at defeat","Bridge","Simone Simons & Myrkur","Sirens - Of Blood And Water","Epica",8384861
"209","A dying heart, bleeding feet","Bridge","Simone Simons & Myrkur","Sirens - Of Blood And Water","Epica",8384861
"210","I'll return to the sea","Bridge","Simone Simons & Myrkur","Sirens - Of Blood And Water","Epica",8384861
"211","We are the sisters of the sea","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"212","Inside the waters we are free","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"213","You ride the currents of my tears","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"214","(Will you take this dagger from me","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"215","Sweet sister)","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"216","As our goodbye is drawing near","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"217","(Don't linger)","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"218","We are the children of the sky","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"219","(Come on into the water","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"220","'Cause our blood runs deeper)","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"221","Come earn a soul that never dies","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"222","(And I miss you)","Outro","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"223","Free","Intro","Epica","Death is Not the End","Epica",8384862
"224","Your mind","Intro","Epica","Death is Not the End","Epica",8384862
"225","From your pain","Intro","Epica","Death is Not the End","Epica",8384862
"226","Death is not the end","Intro","Epica","Death is Not the End","Epica",8384862
"227","Wounds in my mind","Verse 1","Epica","Death is Not the End","Epica",8384862
"228","The raging train left me behind","Verse 1","Epica","Death is Not the End","Epica",8384862
"229","Blood's all I see","Verse 1","Epica","Death is Not the End","Epica",8384862
"230","War's eminent brutality","Verse 1","Epica","Death is Not the End","Epica",8384862
"231","Lost in darkness","Verse 1","Epica","Death is Not the End","Epica",8384862
"232","Worlds intertwined","Verse 1","Epica","Death is Not the End","Epica",8384862
"233","Reality seems out of sight","Verse 1","Epica","Death is Not the End","Epica",8384862
"234","Blood's all I see","Verse 1","Epica","Death is Not the End","Epica",8384862
"235","War's sycophant catastrophe","Verse 1","Epica","Death is Not the End","Epica",8384862
"236","Lost in sadness","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"237","Dying from the madness","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"238","Breathe through my final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"239","Fear of a never-ending trail of tears","Chorus","Epica","Death is Not the End","Epica",8384862
"240","Death is not the end","Chorus","Epica","Death is Not the End","Epica",8384862
"241","Blood all over your hands","Chorus","Epica","Death is Not the End","Epica",8384862
"242","Guilt preserves the pain, and I can't make amends","Chorus","Epica","Death is Not the End","Epica",8384862
"243","Take that final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"244","For this death is not the end","Chorus","Epica","Death is Not the End","Epica",8384862
